experiment,split,model,modality,accuracy,f1,auc
exp2,within,gru,eeg,0.4905511811023622,0.6582144743792921,0.47309759624566855
exp2,within,gru,ocular,0.5039370078740157,0.3930635838150289,0.5092035191896042
exp2,within,gru,physio,0.5086614173228347,0.14754098360655737,0.47953051014359027
exp2,within,gru,early_fusion,0.49763779527559054,0.6475138121546962,0.5144917291107026
exp2,within,gru,late_fusion,0.4858267716535433,0.5961657390228818,0.4830315928376009
exp2,within,lstm,eeg,0.5078740157480315,0.006359300476947536,0.5091799554024323
exp2,within,lstm,ocular,0.4937007874015748,0.6610437532946758,0.48920034427933257
exp2,within,lstm,physio,0.4937007874015748,0.6610437532946758,0.4949635505418431
exp2,within,lstm,early_fusion,0.49606299212598426,0.6610169491525424,0.5138220214752915
exp2,within,lstm,late_fusion,0.4937007874015748,0.6610437532946758,0.49212845488526913
exp3,within,gru,eeg,0.4856338028169014,0.6529836564044089,0.5029870377430423
exp3,within,gru,ocular,0.516056338028169,0.4207687120701281,0.5058139534883721
exp3,within,gru,physio,0.5183098591549296,0.14585414585414586,0.5159353157961621
exp3,within,gru,early_fusion,0.483943661971831,0.6321285140562249,0.5249478968102681
exp3,within,gru,late_fusion,0.49126760563380284,0.5966949531040643,0.513994154276274
exp3,within,lstm,eeg,0.5154929577464789,0.0,0.532818655483543
exp3,within,lstm,ocular,0.48450704225352115,0.6527514231499051,0.5116863642140044
exp3,within,lstm,physio,0.48450704225352115,0.6527514231499051,0.4644408438175117
exp3,within,lstm,early_fusion,0.48225352112676056,0.6496378192908883,0.47678929978396234
exp3,within,lstm,late_fusion,0.48450704225352115,0.6527514231499051,0.48999872919049436
cross,exp2_to_exp3,gru,eeg,0.48540845070422534,0.6527788337261461,0.5059875968992248
cross,exp2_to_exp3,gru,ocular,0.5062535211267606,0.4121277166621948,0.49267210573135084
cross,exp2_to_exp3,gru,physio,0.5150422535211268,0.15141955835962145,0.5132591943067734
cross,exp2_to_exp3,gru,early_fusion,0.48788732394366197,0.6366616036453754,0.5158416063032151
cross,exp2_to_exp3,gru,late_fusion,0.48507042253521127,0.5926916221033868,0.49996301944338545
cross,exp3_to_exp2,gru,eeg,0.4927536231884058,0.6596913971676178,0.4844965453840583
cross,exp3_to_exp2,gru,ocular,0.4864524259609326,0.3699265558562041,0.47927265182167145
cross,exp3_to_exp2,gru,physio,0.503780718336484,0.13509060955518945,0.4821318993661615
cross,exp3_to_exp2,gru,early_fusion,0.4911783238815375,0.6419862558191088,0.5169945561070433
cross,exp3_to_exp2,gru,late_fusion,0.4817265280403277,0.5929225439247711,0.4693417540682763
cross,exp2_to_exp3,lstm,eeg,0.5154929577464789,0.0,0.5418933790824756
cross,exp2_to_exp3,lstm,ocular,0.48450704225352115,0.6527514231499051,0.5113832507307154
cross,exp2_to_exp3,lstm,physio,0.48450704225352115,0.6527514231499051,0.46079539966958954
cross,exp2_to_exp3,lstm,early_fusion,0.4848450704225352,0.6501912777352716,0.48735084508832127
cross,exp2_to_exp3,lstm,late_fusion,0.48450704225352115,0.6527514231499051,0.4920844834159359
cross,exp3_to_exp2,lstm,eeg,0.5064587271581601,0.001275103602167676,0.5216770387049025
cross,exp3_to_exp2,lstm,ocular,0.4938563327032136,0.6611831698829485,0.503236204990591
cross,exp3_to_exp2,lstm,physio,0.4938563327032136,0.6611831698829485,0.48924172185266096
cross,exp3_to_exp2,lstm,early_fusion,0.4957466918714556,0.6612339930151339,0.5149107170778997
cross,exp3_to_exp2,lstm,late_fusion,0.4938563327032136,0.6611831698829485,0.5004621873558922
